timestamp,lat,lon,BT_11,BT_12,BTD,Cloud_Mask_Binary,Cloud_Mask_Raw,CTT,CTH,Cloud_Phase,GPM_precipitation_rate
2022-11-24 16:30:00,10.011048,93.55733,243.82,242.18,1.64,1.0,0.0,205.71,14250.0,6.0,0.2800000011920929
2022-11-19 03:55:00,10.011051,89.18347,261.08,260.84,0.23,1.0,0.0,253.44,8450.0,6.0,0.9099999666213988
2022-11-22 04:20:00,10.011101,95.37289,220.94,220.58,0.35,1.0,0.0,210.62,13500.0,2.0,0.089999996125698
2022-11-20 17:00:00,10.011278,86.378265,279.32,277.22,2.1,1.0,0.0,279.4,3400.0,1.0,0.1499999910593032
2022-11-24 04:00:00,10.011283,93.6209,233.6,231.96,1.64,1.0,0.0,223.18,12100.0,2.0,1.069999933242798
2022-11-19 16:20:00,10.011321,87.40523,212.33,211.83,0.5,1.0,0.0,208.45,13900.0,2.0,5.449999809265137
2022-11-24 04:00:00,10.011546,95.48299,201.27,200.92,0.35,1.0,0.0,198.83,15350.0,2.0,7.559999942779541
2022-11-20 04:35:00,10.011613,78.92682,236.9,236.71,0.18,1.0,0.0,229.12,11400.0,2.0,0.1700000017881393
2022-11-19 16:20:00,10.011645,88.07458,243.34,242.76,0.57,1.0,0.0,233.16,11100.0,2.0,0.7099999785423279
2022-11-23 15:45:00,10.011678,96.39233,216.89,216.17,0.72,1.0,0.0,210.88,13500.0,2.0,0.3899999856948852
2022-11-24 16:30:00,10.011829,94.30301,220.03,218.94,1.09,1.0,0.0,203.38,14600.0,2.0,0.2999999821186065
2022-11-20 04:35:00,10.011848,85.60685,286.59,285.2,1.39,1.0,0.0,289.11,2300.0,1.0,0.3199999928474426
2022-11-19 16:20:00,10.012195,87.07597,215.37,215.01,0.36,1.0,0.0,208.45,13900.0,2.0,0.8700000047683716
2022-11-19 16:20:00,10.012228,84.511986,211.31,209.67,1.63,1.0,0.0,190.52,16100.0,2.0,1.3700000047683716
2022-11-20 04:35:00,10.012422,88.36099,283.02,280.32,2.7,1.0,0.0,211.47,13550.0,6.0,0.1400000005960464
2022-11-22 15:05:00,10.012495,96.055855,215.19,214.84,0.35,1.0,0.0,226.2,11750.0,2.0,3.4099998474121094
2022-11-24 04:00:00,10.012579,93.30094,209.11,208.72,0.39,1.0,0.0,208.25,13850.0,2.0,0.1099999994039535
2022-11-19 16:20:00,10.012615,84.819466,220.69,217.23,3.46,1.0,0.0,190.52,16100.0,2.0,0.8700000047683716
2022-11-19 16:20:00,10.012638,86.75552,208.84,208.88,-0.04,1.0,0.0,205.09,14250.0,2.0,0.0999999940395355
2022-11-19 16:20:00,10.012753,83.294235,210.85,210.13,0.72,1.0,0.0,199.76,15350.0,2.0,0.0700000002980232
2022-11-22 04:20:00,10.012828,93.01811,230.38,229.57,0.81,1.0,0.0,217.11,12800.0,2.0,0.0599999986588954
2022-11-19 03:55:00,10.012919,90.09692,283.83,281.47,2.35,1.0,0.0,283.47,3100.0,6.0,0.4799999892711639
2022-11-24 04:00:00,10.013262,92.97325,220.4,219.95,0.45,1.0,0.0,223.25,12100.0,2.0,0.1499999910593032
